LAST SEEN   TYPE      REASON                    OBJECT                                           MESSAGE
20m         Normal    Pulled                    pod/tcc-api-bluegreen-787bdcb856-6hbwq           Container image "gabrieldores/tcc-api:v1" already present on machine
20m         Normal    Started                   pod/tcc-api-bluegreen-787bdcb856-f8jbt           Started container tcc-api
20m         Normal    Created                   pod/tcc-api-bluegreen-787bdcb856-r927n           Created container: tcc-api
20m         Normal    Pulled                    pod/tcc-api-bluegreen-787bdcb856-mphsd           Container image "gabrieldores/tcc-api:v1" already present on machine
20m         Normal    Created                   pod/tcc-api-bluegreen-787bdcb856-mphsd           Created container: tcc-api
20m         Normal    Pulled                    pod/tcc-api-bluegreen-787bdcb856-r927n           Container image "gabrieldores/tcc-api:v1" already present on machine
20m         Normal    Created                   pod/tcc-api-bluegreen-787bdcb856-f8jbt           Created container: tcc-api
20m         Normal    Started                   pod/tcc-api-bluegreen-787bdcb856-6hbwq           Started container tcc-api
20m         Normal    Created                   pod/tcc-api-bluegreen-787bdcb856-6hbwq           Created container: tcc-api
20m         Normal    SuccessfulCreate          replicaset/tcc-api-canary-b669fbb57              Created pod: tcc-api-canary-b669fbb57-gw924
20m         Normal    Started                   pod/tcc-api-bluegreen-787bdcb856-mphsd           Started container tcc-api
20m         Normal    Started                   pod/tcc-api-bluegreen-787bdcb856-r927n           Started container tcc-api
20m         Normal    ScalingReplicaSet         rollout/tcc-api-canary                           Scaled up ReplicaSet tcc-api-canary-b669fbb57 (revision 11) from 0 to 1
20m         Normal    Created                   pod/tcc-api-canary-b669fbb57-gw924               Created container: tcc-api
20m         Normal    Pulled                    pod/tcc-api-canary-b669fbb57-gw924               Container image "gabrieldores/tcc-api:v1" already present on machine
20m         Normal    Started                   pod/tcc-api-canary-b669fbb57-gw924               Started container tcc-api
20m         Normal    RolloutStepCompleted      rollout/tcc-api-canary                           Rollout step 1/6 completed (setWeight: 20)
20m         Normal    AnalysisRunRunning        rollout/tcc-api-bluegreen                        PrePromotion Analysis Run 'tcc-api-bluegreen-787bdcb856-6-pre' Status New: 'Running' Previous: ''
20m         Normal    RolloutPaused             rollout/tcc-api-canary                           Rollout is paused (CanaryPauseStep)
20m         Normal    Killing                   pod/tcc-api-canary-86c5dc54d7-xs5fn              Stopping container tcc-api
20m         Normal    SuccessfulCreate          replicaset/tcc-api-canary-86c5dc54d7             Created pod: tcc-api-canary-86c5dc54d7-bpr5p
