LAST SEEN   TYPE      REASON                 OBJECT                                            MESSAGE
58s         Normal    Started                pod/tcc-api-bluegreen-787bdcb856-qr9pq            Started container tcc-api
58s         Normal    Created                pod/tcc-api-bluegreen-787bdcb856-ctqsc            Created container: tcc-api
58s         Normal    Started                pod/tcc-api-bluegreen-787bdcb856-mthqq            Started container tcc-api
58s         Normal    Created                pod/tcc-api-bluegreen-787bdcb856-qr9pq            Created container: tcc-api
58s         Normal    Started                pod/tcc-api-bluegreen-787bdcb856-ctqsc            Started container tcc-api
58s         Normal    Pulled                 pod/tcc-api-bluegreen-787bdcb856-qr9pq            Container image "gabrieldores/tcc-api:v1" already present on machine
58s         Normal    Created                pod/tcc-api-bluegreen-787bdcb856-mthqq            Created container: tcc-api
44s         Normal    AnalysisRunRunning     rollout/tcc-api-bluegreen                         PrePromotion Analysis Run 'tcc-api-bluegreen-787bdcb856-10-pre' Status New: 'Running' Previous: ''
31s         Normal    SuccessfulCreate       replicaset/tcc-api-bluegreen-86c5dc54d7           Created pod: tcc-api-bluegreen-86c5dc54d7-cxxlc
31s         Normal    Killing                pod/tcc-api-bluegreen-86c5dc54d7-ptgjg            Stopping container tcc-api
30s         Normal    Pulled                 pod/tcc-api-bluegreen-86c5dc54d7-cxxlc            Container image "gabrieldores/tcc-api:v1" already present on machine
30s         Normal    Created                pod/tcc-api-bluegreen-86c5dc54d7-cxxlc            Created container: tcc-api
30s         Normal    Started                pod/tcc-api-bluegreen-86c5dc54d7-cxxlc            Started container tcc-api
5s          Warning   MetricError            analysisrun/tcc-api-bluegreen-787bdcb856-10-pre   Metric 'error-rate' Completed. Result: Error
5s          Warning   AnalysisRunError       analysisrun/tcc-api-bluegreen-787bdcb856-10-pre   Analysis Completed. Result: Error
5s          Normal    MetricSuccessful       analysisrun/tcc-api-bluegreen-787bdcb856-10-pre   Metric 'latency-p95' Completed. Result: Successful
5s          Normal    MetricSuccessful       analysisrun/tcc-api-bluegreen-787bdcb856-10-pre   Metric 'success-rate' Completed. Result: Successful
5s          Warning   AnalysisRunError       rollout/tcc-api-bluegreen                         PrePromotion Analysis Run 'tcc-api-bluegreen-787bdcb856-10-pre' Status New: 'Error' Previous: 'Running'
4s          Warning   RolloutAborted         rollout/tcc-api-bluegreen                         Rollout aborted update to revision 10: Blue/green pre-promotion analysis phase error/failed: Metric "error-rate" assessed Error due to consecutiveErrors (5) > consecutiveErrorLimit (4): "Error Message: reflect: slice index out of range"
