LAST SEEN   TYPE      REASON                    OBJECT                                            MESSAGE
15m         Normal    Killing                   pod/tcc-api-bluegreen-787bdcb856-kc8cp            Stopping container tcc-api
15m         Normal    Killing                   pod/tcc-api-bluegreen-787bdcb856-jgm78            Stopping container tcc-api
15m         Normal    Killing                   pod/tcc-api-bluegreen-787bdcb856-8pw98            Stopping container tcc-api
15m         Normal    SuccessfulDelete          replicaset/tcc-api-bluegreen-787bdcb856           Deleted pod: tcc-api-bluegreen-787bdcb856-bksz2
12m         Normal    SwitchService             rollout/tcc-api-bluegreen                         Switched selector for service 'tcc-api-preview' from '787bdcb856' to '86c5dc54d7'
12m         Normal    RolloutUpdated            rollout/tcc-api-bluegreen                         Rollout updated to revision 13
7m33s       Normal    RolloutUpdated            rollout/tcc-api-canary                            Rollout updated to revision 18
7m33s       Normal    RolloutNotCompleted       rollout/tcc-api-canary                            Rollout not completed, started update to revision 18 (787bdcb856)
7m32s       Normal    ScalingReplicaSet         rollout/tcc-api-canary                            Scaled up ReplicaSet tcc-api-canary-787bdcb856 (revision 18) from 0 to 1
7m32s       Normal    SuccessfulCreate          replicaset/tcc-api-canary-787bdcb856              Created pod: tcc-api-canary-787bdcb856-kp7nm
7m31s       Normal    Created                   pod/tcc-api-canary-787bdcb856-kp7nm               Created container: tcc-api
7m31s       Normal    Started                   pod/tcc-api-canary-787bdcb856-kp7nm               Started container tcc-api
7m31s       Normal    Pulled                    pod/tcc-api-canary-787bdcb856-kp7nm               Container image "gabrieldores/tcc-api:v1" already present on machine
7m19s       Normal    RolloutStepCompleted      rollout/tcc-api-canary                            Rollout step 1/6 completed (setWeight: 20)
7m18s       Normal    RolloutPaused             rollout/tcc-api-canary                            Rollout is paused (CanaryPauseStep)
7m4s        Normal    Killing                   pod/tcc-api-bluegreen-86c5dc54d7-ghhx6            Stopping container tcc-api
7m4s        Normal    SuccessfulCreate          replicaset/tcc-api-bluegreen-86c5dc54d7           Created pod: tcc-api-bluegreen-86c5dc54d7-5mm8m
7m2s        Normal    Pulled                    pod/tcc-api-bluegreen-86c5dc54d7-5mm8m            Container image "gabrieldores/tcc-api:v1" already present on machine
7m2s        Normal    Created                   pod/tcc-api-bluegreen-86c5dc54d7-5mm8m            Created container: tcc-api
7m2s        Normal    Started                   pod/tcc-api-bluegreen-86c5dc54d7-5mm8m            Started container tcc-api
6m47s       Normal    RolloutStepCompleted      rollout/tcc-api-canary                            Rollout step 2/6 completed (pause: 30s)
4m46s       Normal    MetricSuccessful          analysisrun/tcc-api-canary-787bdcb856-18-2        Metric 'success-rate' Completed. Result: Successful
4m46s       Normal    MetricSuccessful          analysisrun/tcc-api-canary-787bdcb856-18-2        Metric 'latency-p95' Completed. Result: Successful
4m36s       Warning   MetricFailed              analysisrun/tcc-api-canary-787bdcb856-18-2        Metric 'error-rate' Completed. Result: Failed
4m36s       Warning   AnalysisRunFailed         analysisrun/tcc-api-canary-787bdcb856-18-2        Analysis Completed. Result: Failed
4m35s       Warning   AnalysisRunFailed         rollout/tcc-api-canary                            Step Analysis Run 'tcc-api-canary-787bdcb856-18-2' Status New: 'Failed' Previous: 'Running'
4m35s       Warning   RolloutAborted            rollout/tcc-api-canary                            Rollout aborted update to revision 18: Step-based analysis phase error/failed: Metric "error-rate" assessed Failed due to failed (3) > failureLimit (2)
4m33s       Normal    Killing                   pod/tcc-api-canary-787bdcb856-kp7nm               Stopping container tcc-api
4m33s       Normal    SuccessfulDelete          replicaset/tcc-api-canary-787bdcb856              Deleted pod: tcc-api-canary-787bdcb856-kp7nm
2m1s        Normal    RolloutUpdated            rollout/tcc-api-canary                            Rollout updated to revision 19
60s         Normal    ScalingReplicaSet         rollout/tcc-api-bluegreen                         Scaled up ReplicaSet tcc-api-bluegreen-787bdcb856 (revision 14) from 0 to 4
60s         Normal    SwitchService             rollout/tcc-api-bluegreen                         Switched selector for service 'tcc-api-preview' from '86c5dc54d7' to '787bdcb856'
60s         Normal    RolloutUpdated            rollout/tcc-api-bluegreen                         Rollout updated to revision 14
60s         Normal    RolloutNotCompleted       rollout/tcc-api-bluegreen                         Rollout not completed, started update to revision 14 (787bdcb856)
59s         Normal    SuccessfulCreate          replicaset/tcc-api-bluegreen-787bdcb856           Created pod: tcc-api-bluegreen-787bdcb856-mx764
59s         Normal    SuccessfulCreate          replicaset/tcc-api-bluegreen-787bdcb856           Created pod: tcc-api-bluegreen-787bdcb856-zqb9f
59s         Normal    SuccessfulCreate          replicaset/tcc-api-bluegreen-787bdcb856           Created pod: tcc-api-bluegreen-787bdcb856-46lhr
59s         Normal    SuccessfulCreate          replicaset/tcc-api-bluegreen-787bdcb856           Created pod: tcc-api-bluegreen-787bdcb856-lwzdd
58s         Normal    Started                   pod/tcc-api-bluegreen-787bdcb856-zqb9f            Started container tcc-api
58s         Normal    Pulled                    pod/tcc-api-bluegreen-787bdcb856-zqb9f            Container image "gabrieldores/tcc-api:v1" already present on machine
58s         Normal    Pulled                    pod/tcc-api-bluegreen-787bdcb856-lwzdd            Container image "gabrieldores/tcc-api:v1" already present on machine
58s         Normal    Created                   pod/tcc-api-bluegreen-787bdcb856-lwzdd            Created container: tcc-api
58s         Normal    Pulled                    pod/tcc-api-bluegreen-787bdcb856-mx764            Container image "gabrieldores/tcc-api:v1" already present on machine
58s         Normal    Created                   pod/tcc-api-bluegreen-787bdcb856-mx764            Created container: tcc-api
58s         Normal    Started                   pod/tcc-api-bluegreen-787bdcb856-mx764            Started container tcc-api
58s         Normal    Created                   pod/tcc-api-bluegreen-787bdcb856-zqb9f            Created container: tcc-api
58s         Normal    Pulled                    pod/tcc-api-bluegreen-787bdcb856-46lhr            Container image "gabrieldores/tcc-api:v1" already present on machine
58s         Normal    Created                   pod/tcc-api-bluegreen-787bdcb856-46lhr            Created container: tcc-api
58s         Normal    Started                   pod/tcc-api-bluegreen-787bdcb856-46lhr            Started container tcc-api
57s         Normal    Started                   pod/tcc-api-bluegreen-787bdcb856-lwzdd            Started container tcc-api
44s         Normal    AnalysisRunRunning        rollout/tcc-api-bluegreen                         PrePromotion Analysis Run 'tcc-api-bluegreen-787bdcb856-14-pre' Status New: 'Running' Previous: ''
32s         Normal    Killing                   pod/tcc-api-bluegreen-86c5dc54d7-5mm8m            Stopping container tcc-api
