LAST SEEN   TYPE      REASON                    OBJECT                                           MESSAGE
22m         Normal    Created                   pod/tcc-api-bluegreen-86c5dc54d7-ghhx6           Created container: tcc-api
22m         Normal    Started                   pod/tcc-api-bluegreen-86c5dc54d7-ghhx6           Started container tcc-api
22m         Normal    AnalysisRunRunning        rollout/tcc-api-canary                           Step Analysis Run 'tcc-api-canary-787bdcb856-10-2' Status New: 'Running' Previous: ''
21m         Normal    MetricSuccessful          analysisrun/tcc-api-canary-787bdcb856-10-2       Metric 'success-rate' Completed. Result: Successful
21m         Normal    AnalysisRunInconclusive   analysisrun/tcc-api-canary-787bdcb856-10-2       Analysis Completed. Result: Inconclusive
21m         Normal    MetricSuccessful          analysisrun/tcc-api-canary-787bdcb856-10-2       Metric 'latency-p95' Completed. Result: Successful
21m         Normal    MetricInconclusive        analysisrun/tcc-api-canary-787bdcb856-10-2       Metric 'error-rate' Completed. Result: Inconclusive
21m         Normal    RolloutPaused             rollout/tcc-api-canary                           Rollout is paused (InconclusiveAnalysisRun)
21m         Normal    AnalysisRunInconclusive   rollout/tcc-api-canary                           Step Analysis Run 'tcc-api-canary-787bdcb856-10-2' Status New: 'Inconclusive' Previous: 'Running'
15m         Normal    ScalingReplicaSet         rollout/tcc-api-bluegreen                        Scaled up ReplicaSet tcc-api-bluegreen-787bdcb856 (revision 6) from 0 to 4
15m         Normal    SwitchService             rollout/tcc-api-bluegreen                        Switched selector for service 'tcc-api-preview' from '86c5dc54d7' to '787bdcb856'
15m         Normal    NewReplicaSetCreated      rollout/tcc-api-canary                           Created ReplicaSet tcc-api-canary-b669fbb57 (revision 11)
15m         Normal    RolloutUpdated            rollout/tcc-api-canary                           Rollout updated to revision 11
15m         Normal    RolloutUpdated            rollout/tcc-api-bluegreen                        Rollout updated to revision 6
15m         Normal    RolloutNotCompleted       rollout/tcc-api-bluegreen                        Rollout not completed, started update to revision 6 (787bdcb856)
15m         Normal    SuccessfulDelete          replicaset/tcc-api-canary-787bdcb856             Deleted pod: tcc-api-canary-787bdcb856-26ngf
15m         Normal    Killing                   pod/tcc-api-canary-787bdcb856-26ngf              Stopping container tcc-api
15m         Normal    SuccessfulCreate          replicaset/tcc-api-bluegreen-787bdcb856          Created pod: tcc-api-bluegreen-787bdcb856-f8jbt
15m         Normal    SuccessfulCreate          replicaset/tcc-api-bluegreen-787bdcb856          Created pod: tcc-api-bluegreen-787bdcb856-mphsd
15m         Normal    SuccessfulCreate          replicaset/tcc-api-bluegreen-787bdcb856          Created pod: tcc-api-bluegreen-787bdcb856-6hbwq
15m         Normal    RolloutResumed            rollout/tcc-api-canary                           Rollout is resumed
15m         Normal    SuccessfulCreate          replicaset/tcc-api-bluegreen-787bdcb856          Created pod: tcc-api-bluegreen-787bdcb856-r927n
15m         Normal    ScalingReplicaSet         rollout/tcc-api-canary                           Scaled down ReplicaSet tcc-api-canary-787bdcb856 (revision 10) from 1 to 0
15m         Normal    Created                   pod/tcc-api-bluegreen-787bdcb856-f8jbt           Created container: tcc-api
15m         Normal    Started                   pod/tcc-api-bluegreen-787bdcb856-6hbwq           Started container tcc-api
15m         Normal    Started                   pod/tcc-api-bluegreen-787bdcb856-f8jbt           Started container tcc-api
15m         Normal    Pulled                    pod/tcc-api-bluegreen-787bdcb856-f8jbt           Container image "gabrieldores/tcc-api:v1" already present on machine
15m         Normal    Pulled                    pod/tcc-api-bluegreen-787bdcb856-r927n           Container image "gabrieldores/tcc-api:v1" already present on machine
15m         Normal    Created                   pod/tcc-api-bluegreen-787bdcb856-6hbwq           Created container: tcc-api
15m         Normal    Created                   pod/tcc-api-bluegreen-787bdcb856-mphsd           Created container: tcc-api
15m         Normal    Pulled                    pod/tcc-api-bluegreen-787bdcb856-mphsd           Container image "gabrieldores/tcc-api:v1" already present on machine
15m         Normal    Created                   pod/tcc-api-bluegreen-787bdcb856-r927n           Created container: tcc-api
15m         Normal    Pulled                    pod/tcc-api-bluegreen-787bdcb856-6hbwq           Container image "gabrieldores/tcc-api:v1" already present on machine
15m         Normal    Started                   pod/tcc-api-bluegreen-787bdcb856-mphsd           Started container tcc-api
15m         Normal    Started                   pod/tcc-api-bluegreen-787bdcb856-r927n           Started container tcc-api
15m         Normal    SuccessfulCreate          replicaset/tcc-api-canary-b669fbb57              Created pod: tcc-api-canary-b669fbb57-gw924
15m         Normal    ScalingReplicaSet         rollout/tcc-api-canary                           Scaled up ReplicaSet tcc-api-canary-b669fbb57 (revision 11) from 0 to 1
15m         Normal    Created                   pod/tcc-api-canary-b669fbb57-gw924               Created container: tcc-api
